Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Hellblade: Senua's Sacrifice;81;71;78;Ninja Theory;Action Adventure;08/08/2017
Hi-Fi Rush;87;63;89;Tango Gameworks;Action Adventure;25/01/2023
Hollow Knight Voidheart Ed.;89;8;89;Team Cherry;Metroidvania;25/09/2018
Homestead Arcana;62;4;43;Serenity Forge;Sandbox;21/04/2023
Hot Wheels Unleashed 2 – Turbocharged;77;41;67;Milestone S.r.l;Auto Racing;19/10/2023
House Flipper;67;7;73;Empyrean;Virtual Career;17/05/2018
Human Fall Flat;70;22;73;No Brakes Games;3D Platformer;22/07/2016
Humanity;86;36;79;Tha Ltd.;Action Puzzle;16/05/2023
theHunter: Call of the Wild;64;13;65;Expansive Worlds;Hunting;16/02/2017
Hypnospace Outlaw;83;22;73;Tendershoot;Point-and-Click;12/03/2019
Immortals Fenyx Rising;81;53;77;Ubisoft Quebec;Open-World Action;03/12/2020
Immortals of Aveum;69;77;61;Ascendant Studios;FPS;22/08/2023
Indiana Jones and the Great Circle;86;78;83;MachineGames;Action Adventure;09/12/2024
Indivisible;77;45;69;Lab Zero Games;Action RPG;08/10/2019
Injustice 2;87;93;79;NetherRealm Studios;2D Fighting;16/05/2017
Inscryption;85;54;85;Daniel Mullins Games;Card Battle;19/10/2021
Inside;93;92;83;PLAYDEAD;2D Platformer;29/06/2016
Iron Brigade;82;43;81;Double Fine Productions;Defense;22/06/2011
Isonzo;67;10;65;"M2H &amp; BlackMill Games";Tactical FPS;13/09/2022
It Takes Two;88;50;89;Hazelight;Linear Action Adventure;26/03/2021
Jade Empire;89;84;82;BioWare;Action RPG;12/04/2005
Jetpac Refulled;73;17;67;Rare Ltd.;2D Platformer;24/10/2006
Journey to the Savage Planet;74;60;70;Typhoon Studios;Open-World Action;28/01/2020
Joy Ride Turbo;67;20;79;BigPark;Auto Racing;23/05/2012
Jurassic World Evolution 2;78;26;72;Frontier Developments;Tycoon;09/11/2021
Jusant;85;33;76;DONTNOD Entertainment;Action Adventure;31/10/2023
Kameo;79;76;81;Rare Ltd.;Action Adventure;07/11/2005
Keplerth;;;;TARO;Sandbox;23/05/2022
Killer Instinct Def. Ed.;86;4;80;Microsoft Game Studios;2D Fighting;20/09/2016
Kona;71;22;68;Parabole;First-Person Adventure;23/03/2017
Kona II: Brume;79;4;59;Parabole;Third-Person Adventure;18/10/2023
Kunitsu-Gami: Path of the Goddess;80;48;77;Capcom;Action Adventure;19/07/2024
The Lamplighters League;73;23;62;Harebrained Schemes LLC;Turn-Based Tactics;03/10/2023
The Last Case of Benedict Fox;58;17;69;Plot Twist;Metroidvania;27/04/2023
League of Legends;78;37;48;Riot Games;MOBA;27/10/2009
Legend of Mana Remastered;72;36;67;M2;JRPG;24/06/2021
Legends of Runeterra;87;15;66;Riot Games;Card Battle;29/04/2020
LEGO Star Wars: The Skywalker Saga;82;64;78;TT Games;Action Adventure;05/04/2022
Lies of P;80;71;83;Round 8 Studio of NEOWIZ;Action Adventure;19/09/2023
Lightyear Frontier;;;;;Sandbox;
Lil Gator Game;84;17;84;Scott Slucher;Open-World Action;14/12/2022
Limbo;90;89;81;PLAYDEAD;2D Platformer;21/07/2010
Little Kitty, Big City;79;16;76;Double Dagger Studio;Open-World Action;09/05/2024
A Little to the Left;75;26;73;Max Inferno;Puzzle;08/11/2022
Lonely Mountains: Snow Riders;86;7;74;Megagon Industries;Skiing;21/01/2025
Lords of the Fallen;75;66;67;Hexworks;Action RPG;13/10/2023
Lost in Random;78;32;76;Zoink;Action Adventure;10/09/2021
Mad Streets;;;60;Craftshop Arts Inc.;3D Beat-'Em-Up;27/08/2021
Madden NFL 23;69;31;16;EA Tiburon;Football Sim;16/08/2022
Madden NFL 24;65;22;17;EA Tiburon;Football Sim;18/08/2023
Mafia: Definitive Edition;78;48;73;Hangar 13;Open-World Action;19/05/2020
Magical Delicacy;82;12;54;Skaule;Metroidvania;16/07/2024
Maneater;70;47;65;Tripwire Interactive;Open-World Action;22/05/2020
Manor Lords;;;;;Management;
Maquette;70;44;62;Graceful Decay;First-Person Adventure;02/03/2021
Mass Effect;91;74;86;BioWare;Western RPG;20/11/2007
Mass Effect 2;96;98;89;BioWare;Western RPG;26/01/2010
Mass Effect 3;93;74;62;BioWare;Action RPG;06/03/2012
Mass Effect Legendary Ed.;87;47;75;BioWare;Compilation;14/05/2021
Mass Effect: Andromeda;71;67;51;BioWare;Action RPG;21/03/2017
Massive Chalice;73;31;60;Double Fine Productions;Turn-Based Tactics;01/06/2015
Max: The Curse of Brotherhood;72;51;74;Press Play;Action Adventure;20/12/2013
MechWarrior 5: Clans;78;22;66;Piranha Games;Vehicle Combat Sim;16/10/2024
